iter	Passed	Remaining
439	21029	2867
440	21070	2818
441	21116	2770
442	21156	2722
443	21202	2674
444	21244	2625
445	21287	2577
446	21331	2529
447	21375	2481
448	21417	2432
449	21459	2384
450	21501	2336
451	21543	2287
452	21586	2239
453	21630	2191
454	21673	2143
455	21715	2095
456	21759	2047
457	21801	1999
458	21845	1951
459	21890	1903
460	21931	1855
461	21973	1807
462	22015	1759
463	22055	1711
464	22097	1663
465	22141	1615
466	22183	1567
467	22227	1519
468	22269	1471
469	22310	1424
470	22353	1376
471	22396	1328
472	22439	1280
473	22483	1233
474	22527	1185
475	22569	1137
476	22612	1090
477	22655	1042
478	22698	995
479	22742	947
480	22787	900
481	22829	852
482	22876	805
483	22917	757
484	22961	710
485	23003	662
486	23048	615
487	23089	567
488	23133	520
489	23175	472
490	23217	425
491	23260	378
492	23303	330
493	23346	283
494	23388	236
495	23433	188
496	23476	141
497	23520	94
498	23564	47
499	23608	0
