iter	Logloss
0	0.4712532064
1	0.3273376208
2	0.2607613882
3	0.1991192034
4	0.1632412173
5	0.1410456933
6	0.1279742931
7	0.111867068
8	0.1033243431
9	0.09324332789
10	0.08450684607
11	0.07733468921
12	0.07269855624
13	0.06761460255
14	0.06298238737
15	0.05871315055
16	0.05510760321
17	0.05147771658
18	0.04941872106
19	0.04696596957
20	0.04479184757
21	0.04307209869
22	0.0408917599
23	0.03967390485
24	0.03793541137
25	0.03621098538
26	0.03463164741
27	0.03277206212
28	0.03164623766
29	0.03014174284
30	0.02900272159
31	0.02816140432
32	0.02726041523
33	0.02602167528
34	0.02526884213
35	0.02448160354
36	0.0232350895
37	0.02224447448
38	0.02165583946
39	0.02084098393
40	0.01999068668
41	0.01946859459
42	0.01884432574
43	0.01828233223
44	0.01775287741
45	0.01730750181
46	0.01686236702
47	0.01620499972
48	0.01574607381
49	0.01538040425
50	0.01500497258
51	0.01471613319
52	0.01439056881
53	0.01412451736
54	0.01388558016
55	0.01353789648
56	0.01315290222
57	0.01298291907
58	0.01284298646
59	0.01254667985
60	0.01234774965
61	0.01197107526
62	0.01177996366
63	0.01152867842
64	0.01132496595
65	0.01117824741
66	0.01104682917
67	0.01087906929
68	0.01052047714
69	0.01023824891
70	0.01015912118
71	0.01002439651
72	0.009875214792
73	0.009781504221
74	0.009631726645
75	0.00944484322
76	0.009267291862
77	0.00908075438
78	0.00881684345
79	0.008641867588
80	0.008517053769
81	0.008392267642
82	0.00832744501
83	0.008204543884
84	0.008092354
85	0.007933010371
86	0.007818153126
87	0.0077493056
88	0.007527928995
89	0.00750036253
90	0.007453765847
91	0.007347530141
92	0.0072404781
93	0.007044410016
94	0.00694319981
95	0.00682615691
96	0.006743134326
97	0.006633307356
98	0.006564273923
99	0.006497928401
100	0.00643255325
101	0.006338767807
102	0.006266374486
103	0.0061800092
104	0.006136686033
105	0.006069312944
106	0.005975683435
107	0.005882909984
108	0.005836149747
109	0.005777618552
110	0.005703870902
111	0.005599168826
112	0.005532447924
113	0.005461725721
114	0.005433780033
115	0.005387023077
116	0.005297421416
117	0.005225094743
118	0.005156922192
119	0.005010365071
120	0.00497035813
121	0.004895404668
122	0.004791164597
123	0.004766147073
124	0.004687564549
125	0.004630525724
126	0.004559512715
127	0.004505195271
128	0.004469454457
129	0.004398072663
130	0.004366845846
131	0.004317753989
132	0.004237959314
133	0.004201578226
134	0.004184351177
135	0.004121008783
136	0.004089605915
137	0.00406184625
138	0.004024052254
139	0.003978388016
140	0.003961394672
141	0.0039025483
142	0.003836457729
143	0.003802271928
144	0.003779416661
145	0.003758169628
146	0.003679351574
147	0.003596443864
148	0.003547738913
149	0.003532588363
150	0.003532594863
151	0.003532594863
152	0.003532601958
153	0.003532602234
154	0.003521208119
155	0.003486049478
156	0.003486020897
157	0.003486019848
158	0.00347351646
159	0.003399677379
160	0.003370183036
161	0.003361160971
162	0.00336113525
163	0.003361081484
164	0.0033611028
165	0.003361064823
166	0.0033610596
167	0.003361047233
168	0.003361047233
169	0.003361047233
170	0.003361047233
171	0.003361047233
172	0.003361047233
173	0.003361047233
174	0.003361047233
175	0.003361047233
176	0.003361047233
177	0.003361047233
178	0.003298613361
179	0.003274801885
180	0.003253177687
181	0.003232040551
182	0.003209343557
183	0.003209343557
184	0.003186814949
185	0.00316883113
186	0.003148902464
187	0.003083705592
188	0.003012363879
189	0.0030123444
190	0.003002752135
191	0.002971371016
192	0.002954947188
193	0.002954947188
194	0.002954976483
195	0.002954912239
196	0.002954947551
197	0.00295491811
198	0.002954873004
199	0.002954880432
200	0.002954910774
201	0.002954868483
202	0.00295483191
203	0.00295488317
204	0.00295488317
205	0.002954858415
206	0.002954858415
207	0.002954858415
208	0.0029548168
209	0.0029548168
210	0.002945581202
211	0.002890384772
212	0.002890384772
213	0.002890358968
214	0.002890339481
215	0.002890318836
216	0.002890271989
217	0.002890285275
218	0.002890285275
219	0.002890285275
220	0.002890285275
221	0.002890285275
222	0.002890285275
223	0.002890285275
224	0.002890285275
225	0.002890285275
226	0.002890285275
227	0.002890285275
228	0.002890285275
229	0.002890285275
230	0.002890285275
231	0.002890285275
232	0.002890285275
233	0.002890285275
234	0.002890285275
235	0.002890285275
236	0.002890285275
237	0.002890285275
238	0.002890285275
239	0.002890285275
240	0.002890285275
241	0.002890285275
242	0.002890285275
243	0.002890285275
244	0.002890285275
245	0.002890285275
246	0.002890285275
247	0.002890285275
248	0.002890285275
249	0.002890285275
250	0.002890285275
251	0.002890285275
252	0.002890285275
253	0.002890285275
254	0.002890285275
255	0.002890285275
256	0.002890285275
257	0.002890285275
258	0.002890285275
259	0.002890285275
260	0.002890285275
261	0.002890285275
262	0.002890285275
263	0.002890285275
264	0.002890285275
265	0.002890285275
266	0.002890285275
267	0.002890285275
